,pgnfile,result
16770,406985.pgn,0.0
16771,406986.pgn,-1.0
16772,406987.pgn,0.0
16773,406988.pgn,0.0
16774,406989.pgn,0.0
16775,406990.pgn,1.0
16776,406991.pgn,0.0
16777,406992.pgn,0.0
16778,406993.pgn,0.0
16779,406994.pgn,-1.0
16780,406995.pgn,0.0
16781,406996.pgn,0.0
16782,406997.pgn,0.0
16783,406998.pgn,0.0
16784,406999.pgn,1.0
16785,407000.pgn,-1.0
16786,407001.pgn,0.0
16787,407002.pgn,0.0
16788,407003.pgn,0.0
16789,407004.pgn,1.0
16790,407005.pgn,1.0
16791,407006.pgn,1.0
16792,407007.pgn,0.0
16793,407008.pgn,1.0
16794,407009.pgn,1.0
16795,407010.pgn,1.0
16796,407011.pgn,1.0
16797,407012.pgn,-1.0
16798,407013.pgn,1.0
16799,407014.pgn,-1.0
16800,407015.pgn,0.0
16801,407016.pgn,0.0
16802,407017.pgn,-1.0
16803,407018.pgn,1.0
16804,407019.pgn,1.0
16805,407020.pgn,1.0
16806,407021.pgn,1.0
16807,407022.pgn,1.0
16808,407023.pgn,-1.0
16809,407024.pgn,1.0
16810,407025.pgn,1.0
16811,407026.pgn,0.0
16812,407027.pgn,0.0
16813,407028.pgn,1.0
16814,407029.pgn,1.0
16815,407030.pgn,-1.0
16816,407031.pgn,1.0
16817,407032.pgn,0.0
16818,407033.pgn,-1.0
16819,407034.pgn,0.0
16820,407035.pgn,1.0
16821,407036.pgn,1.0
16822,407037.pgn,1.0
16823,407038.pgn,0.0
16824,407039.pgn,1.0
16825,407040.pgn,0.0
16826,407041.pgn,-1.0
16827,407042.pgn,0.0
16828,407043.pgn,-1.0
16829,407044.pgn,-1.0
16830,407045.pgn,0.0
16831,407046.pgn,1.0
16832,407047.pgn,1.0
16833,407048.pgn,-1.0
16834,407049.pgn,0.0
16835,407050.pgn,0.0
16836,407051.pgn,-1.0
16837,407052.pgn,0.0
16838,407053.pgn,1.0
16839,407054.pgn,0.0
16840,407055.pgn,-1.0
16841,407056.pgn,0.0
16842,407057.pgn,1.0
16843,407058.pgn,-1.0
16844,407059.pgn,0.0
16845,407060.pgn,1.0
16846,407061.pgn,1.0
16847,407062.pgn,1.0
16848,407063.pgn,1.0
16849,407064.pgn,1.0
16850,407065.pgn,-1.0
16851,407066.pgn,1.0
16852,407067.pgn,-1.0
16853,407068.pgn,-1.0
16854,407069.pgn,1.0
16855,407070.pgn,1.0
16856,407071.pgn,0.0
16857,407072.pgn,-1.0
16858,407073.pgn,-1.0
16859,407074.pgn,-1.0
16860,407075.pgn,-1.0
16861,407076.pgn,-1.0
16862,407077.pgn,-1.0
16863,407078.pgn,-1.0
16864,407079.pgn,1.0
16865,407080.pgn,0.0
16866,407081.pgn,0.0
16867,407082.pgn,-1.0
16868,407083.pgn,1.0
16869,407084.pgn,0.0
16870,407085.pgn,-1.0
16871,407086.pgn,0.0
16872,407087.pgn,0.0
16873,407088.pgn,1.0
16874,407089.pgn,0.0
16875,407090.pgn,-1.0
16876,407091.pgn,1.0
16877,407092.pgn,1.0
16878,407093.pgn,0.0
16879,407094.pgn,0.0
16880,407095.pgn,-1.0
16881,407096.pgn,0.0
16882,407097.pgn,0.0
16883,407098.pgn,1.0
16884,407099.pgn,1.0
16885,407100.pgn,1.0
16886,407101.pgn,1.0
16887,407102.pgn,0.0
16888,407103.pgn,0.0
16889,407104.pgn,0.0
16890,407105.pgn,0.0
16891,407106.pgn,0.0
16892,407107.pgn,0.0
16893,407108.pgn,1.0
16894,407109.pgn,1.0
16895,407110.pgn,0.0
16896,407111.pgn,1.0
16897,407112.pgn,1.0
16898,407113.pgn,-1.0
16899,407114.pgn,1.0
16900,407115.pgn,1.0
16901,407116.pgn,-1.0
16902,407117.pgn,0.0
16903,407118.pgn,1.0
16904,407119.pgn,0.0
16905,407120.pgn,1.0
16906,407121.pgn,0.0
16907,407122.pgn,-1.0
16908,407123.pgn,0.0
16909,407124.pgn,1.0
16910,407125.pgn,0.0
16911,407126.pgn,-1.0
16912,407127.pgn,-1.0
16913,407128.pgn,-1.0
16914,407129.pgn,-1.0
16915,407130.pgn,0.0
16916,407131.pgn,-1.0
16917,407132.pgn,1.0
16918,407133.pgn,1.0
16919,407134.pgn,1.0
16920,407135.pgn,1.0
16921,407136.pgn,0.0
16922,407137.pgn,-1.0
16923,407138.pgn,0.0
16924,407139.pgn,1.0
16925,407140.pgn,0.0
16926,407141.pgn,0.0
16927,407142.pgn,1.0
16928,407143.pgn,-1.0
16929,407144.pgn,0.0
16930,407145.pgn,-1.0
16931,407146.pgn,1.0
16932,407147.pgn,0.0
16933,407148.pgn,-1.0
16934,407149.pgn,0.0
16935,407150.pgn,1.0
16936,407151.pgn,1.0
16937,407152.pgn,1.0
16938,407153.pgn,0.0
16939,407154.pgn,1.0
16940,407155.pgn,1.0
16941,407156.pgn,-1.0
16942,407157.pgn,1.0
16943,407158.pgn,-1.0
16944,407159.pgn,0.0
16945,407160.pgn,-1.0
16946,407161.pgn,-1.0
16947,407162.pgn,1.0
16948,407163.pgn,1.0
16949,407164.pgn,-1.0
16950,407165.pgn,1.0
16951,407166.pgn,1.0
16952,407167.pgn,-1.0
16953,407168.pgn,0.0
16954,407169.pgn,1.0
16955,407170.pgn,-1.0
16956,407171.pgn,-1.0
16957,407172.pgn,0.0
16958,407173.pgn,0.0
16959,407174.pgn,0.0
16960,407175.pgn,0.0
16961,407176.pgn,1.0
16962,407177.pgn,0.0
16963,407178.pgn,1.0
16964,407179.pgn,-1.0
16965,407180.pgn,-1.0
16966,407181.pgn,1.0
16967,407182.pgn,0.0
16968,407183.pgn,1.0
16969,407184.pgn,-1.0
16970,407185.pgn,0.0
16971,407186.pgn,-1.0
16972,407187.pgn,0.0
16973,407188.pgn,1.0
16974,407189.pgn,1.0
16975,407190.pgn,1.0
16976,407191.pgn,0.0
16977,407192.pgn,1.0
16978,407193.pgn,0.0
16979,407194.pgn,0.0
16980,407195.pgn,-1.0
16981,407196.pgn,1.0
16982,407197.pgn,1.0
16983,407198.pgn,1.0
16984,407199.pgn,-1.0
16985,407200.pgn,1.0
16986,407201.pgn,1.0
16987,407202.pgn,1.0
16988,407203.pgn,1.0
16989,407204.pgn,-1.0
16990,407205.pgn,-1.0
16991,407206.pgn,1.0
16992,407207.pgn,1.0
16993,407208.pgn,1.0
16994,407209.pgn,0.0
16995,407210.pgn,-1.0
16996,407211.pgn,-1.0
16997,407212.pgn,1.0
16998,407213.pgn,-1.0
16999,407214.pgn,1.0
17000,407215.pgn,-1.0
17001,407216.pgn,0.0
17002,407217.pgn,-1.0
17003,407218.pgn,0.0
17004,407219.pgn,0.0
17005,407220.pgn,1.0
17006,407221.pgn,1.0
17007,407222.pgn,-1.0
17008,407223.pgn,-1.0
17009,407224.pgn,1.0
17010,407225.pgn,-1.0
17011,407226.pgn,0.0
17012,407227.pgn,-1.0
17013,407228.pgn,1.0
17014,407229.pgn,1.0
17015,407230.pgn,-1.0
17016,407231.pgn,1.0
17017,407232.pgn,0.0
17018,407234.pgn,0.0
17019,407235.pgn,1.0
17020,407238.pgn,0.0
17021,407239.pgn,-1.0
17022,407241.pgn,1.0
17023,407242.pgn,0.0
17024,407243.pgn,0.0
17025,407245.pgn,0.0
17026,407246.pgn,-1.0
17027,407247.pgn,0.0
17028,407248.pgn,0.0
17029,407249.pgn,0.0
17030,407251.pgn,0.0
17031,407252.pgn,0.0
17032,407253.pgn,1.0
17033,407254.pgn,1.0
17034,407256.pgn,0.0
17035,407257.pgn,-1.0
17036,407258.pgn,1.0
17037,407261.pgn,1.0
17038,407262.pgn,0.0
17039,407263.pgn,0.0
17040,407265.pgn,0.0
17041,407266.pgn,0.0
17042,407267.pgn,0.0
17043,407268.pgn,0.0
17044,407269.pgn,-1.0
17045,407270.pgn,0.0
17046,407272.pgn,-1.0
17047,407273.pgn,0.0
17048,407274.pgn,0.0
17049,407275.pgn,1.0
17050,407276.pgn,1.0
17051,407277.pgn,0.0
17052,407278.pgn,0.0
17053,407280.pgn,-1.0
17054,407281.pgn,0.0
17055,407282.pgn,0.0
17056,407283.pgn,0.0
17057,407284.pgn,1.0
17058,407285.pgn,0.0
17059,407286.pgn,1.0
17060,407287.pgn,0.0
17061,407288.pgn,-1.0
17062,407290.pgn,1.0
17063,407291.pgn,0.0
17064,407292.pgn,-1.0
17065,407293.pgn,1.0
17066,407294.pgn,0.0
17067,407295.pgn,-1.0
17068,407296.pgn,-1.0
17069,407297.pgn,0.0
17070,407298.pgn,-1.0
17071,407299.pgn,1.0
17072,407300.pgn,-1.0
17073,407301.pgn,0.0
17074,407303.pgn,-1.0
17075,407304.pgn,1.0
17076,407305.pgn,1.0
17077,407306.pgn,0.0
17078,407307.pgn,1.0
17079,407308.pgn,1.0
17080,407309.pgn,-1.0
17081,407310.pgn,0.0
17082,407311.pgn,1.0
17083,407312.pgn,0.0
17084,407313.pgn,1.0
17085,407314.pgn,1.0
17086,407315.pgn,0.0
17087,407316.pgn,0.0
17088,407317.pgn,1.0
17089,407318.pgn,-1.0
17090,407319.pgn,1.0
17091,407320.pgn,-1.0
17092,407321.pgn,0.0
17093,407322.pgn,-1.0
17094,407324.pgn,0.0
17095,407325.pgn,1.0
17096,407326.pgn,1.0
17097,407327.pgn,0.0
17098,407328.pgn,1.0
17099,407329.pgn,1.0
17100,407330.pgn,1.0
17101,407331.pgn,-1.0
17102,407332.pgn,1.0
17103,407334.pgn,0.0
17104,407335.pgn,0.0
17105,407336.pgn,1.0
17106,407337.pgn,1.0
17107,407339.pgn,0.0
17108,407340.pgn,-1.0
17109,407341.pgn,0.0
17110,407342.pgn,0.0
17111,407343.pgn,0.0
17112,407344.pgn,1.0
17113,407345.pgn,-1.0
17114,407346.pgn,1.0
17115,407347.pgn,0.0
17116,407349.pgn,1.0
17117,407350.pgn,-1.0
17118,407351.pgn,1.0
17119,407352.pgn,-1.0
17120,407353.pgn,-1.0
17121,407354.pgn,-1.0
17122,407355.pgn,0.0
17123,407356.pgn,1.0
17124,407357.pgn,0.0
17125,407358.pgn,-1.0
17126,407359.pgn,0.0
17127,407360.pgn,0.0
17128,407361.pgn,1.0
17129,407362.pgn,1.0
17130,407363.pgn,-1.0
17131,407364.pgn,-1.0
17132,407365.pgn,0.0
17133,407366.pgn,-1.0
17134,407367.pgn,0.0
17135,407369.pgn,1.0
17136,407370.pgn,-1.0
17137,407371.pgn,1.0
17138,407372.pgn,-1.0
17139,407373.pgn,1.0
17140,407374.pgn,0.0
17141,407375.pgn,0.0
17142,407376.pgn,1.0
17143,407377.pgn,1.0
17144,407378.pgn,-1.0
17145,407379.pgn,0.0
17146,407380.pgn,1.0
17147,407382.pgn,1.0
17148,407383.pgn,-1.0
17149,407384.pgn,0.0
17150,407386.pgn,0.0
17151,407387.pgn,-1.0
17152,407388.pgn,1.0
17153,407389.pgn,1.0
17154,407390.pgn,1.0
17155,407391.pgn,-1.0
17156,407392.pgn,1.0
17157,407393.pgn,1.0
17158,407394.pgn,-1.0
17159,407395.pgn,1.0
17160,407396.pgn,0.0
17161,407397.pgn,0.0
17162,407398.pgn,0.0
17163,407400.pgn,0.0
17164,407401.pgn,0.0
17165,407402.pgn,0.0
17166,407404.pgn,0.0
17167,407405.pgn,0.0
17168,407406.pgn,0.0
17169,407407.pgn,0.0
17170,407408.pgn,0.0
17171,407409.pgn,0.0
17172,407410.pgn,0.0
17173,407411.pgn,0.0
17174,407412.pgn,0.0
17175,407413.pgn,0.0
17176,407414.pgn,0.0
17177,407415.pgn,1.0
17178,407416.pgn,0.0
17179,407417.pgn,0.0
17180,407418.pgn,0.0
17181,407420.pgn,0.0
17182,407421.pgn,0.0
17183,407422.pgn,1.0
17184,407423.pgn,0.0
17185,407425.pgn,0.0
17186,407426.pgn,0.0
17187,407427.pgn,0.0
17188,407428.pgn,0.0
17189,407430.pgn,-1.0
17190,407431.pgn,-1.0
17191,407432.pgn,0.0
17192,407433.pgn,0.0
17193,407434.pgn,0.0
17194,407435.pgn,0.0
17195,407436.pgn,-1.0
17196,407437.pgn,-1.0
17197,407438.pgn,1.0
17198,407439.pgn,0.0
17199,407441.pgn,1.0
17200,407444.pgn,1.0
17201,407445.pgn,0.0
17202,407446.pgn,1.0
17203,407447.pgn,-1.0
17204,407448.pgn,0.0
17205,407449.pgn,1.0
17206,407450.pgn,0.0
17207,407451.pgn,0.0
17208,407452.pgn,-1.0
17209,407453.pgn,0.0
17210,407454.pgn,0.0
17211,407455.pgn,0.0
17212,407456.pgn,1.0
17213,407457.pgn,-1.0
17214,407458.pgn,-1.0
17215,407460.pgn,-1.0
17216,407461.pgn,-1.0
17217,407462.pgn,0.0
17218,407465.pgn,1.0
17219,407466.pgn,1.0
17220,407467.pgn,0.0
17221,407468.pgn,0.0
17222,407469.pgn,0.0
17223,407470.pgn,1.0
17224,407471.pgn,0.0
17225,407472.pgn,0.0
17226,407473.pgn,-1.0
17227,407475.pgn,-1.0
17228,407476.pgn,-1.0
17229,407477.pgn,0.0
17230,407478.pgn,1.0
17231,407479.pgn,0.0
17232,407480.pgn,1.0
17233,407481.pgn,-1.0
17234,407482.pgn,-1.0
17235,407483.pgn,-1.0
17236,407484.pgn,0.0
17237,407485.pgn,1.0
17238,407486.pgn,1.0
17239,407487.pgn,1.0
17240,407489.pgn,0.0
17241,407490.pgn,0.0
17242,407491.pgn,0.0
17243,407492.pgn,0.0
17244,407493.pgn,-1.0
17245,407494.pgn,-1.0
17246,407495.pgn,1.0
17247,407496.pgn,0.0
17248,407497.pgn,0.0
17249,407498.pgn,1.0
17250,407499.pgn,1.0
17251,407500.pgn,-1.0
17252,407501.pgn,0.0
17253,407502.pgn,0.0
17254,407503.pgn,-1.0
17255,407504.pgn,0.0
17256,407505.pgn,0.0
17257,407506.pgn,0.0
17258,407507.pgn,0.0
17259,407508.pgn,1.0
17260,407509.pgn,0.0
17261,407511.pgn,0.0
17262,407512.pgn,1.0
17263,407513.pgn,1.0
17264,407514.pgn,0.0
17265,407516.pgn,0.0
17266,407517.pgn,0.0
17267,407518.pgn,0.0
17268,407519.pgn,1.0
17269,407521.pgn,1.0
17270,407522.pgn,1.0
17271,407523.pgn,0.0
17272,407524.pgn,0.0
17273,407525.pgn,-1.0
17274,407526.pgn,0.0
17275,407528.pgn,1.0
17276,407529.pgn,0.0
17277,407530.pgn,0.0
17278,407532.pgn,1.0
17279,407533.pgn,0.0
17280,407535.pgn,1.0
17281,407536.pgn,-1.0
17282,407537.pgn,0.0
17283,407538.pgn,0.0
17284,407539.pgn,1.0
17285,407540.pgn,1.0
17286,407541.pgn,0.0
17287,407542.pgn,0.0
17288,407543.pgn,-1.0
17289,407544.pgn,0.0
17290,407545.pgn,1.0
17291,407546.pgn,-1.0
17292,407547.pgn,1.0
17293,407548.pgn,1.0
17294,407549.pgn,0.0
17295,407550.pgn,0.0
17296,407552.pgn,-1.0
17297,407553.pgn,0.0
17298,407554.pgn,0.0
17299,407555.pgn,1.0
17300,407556.pgn,0.0
17301,407557.pgn,1.0
17302,407558.pgn,0.0
17303,407559.pgn,1.0
17304,407560.pgn,1.0
17305,407561.pgn,-1.0
17306,407562.pgn,1.0
17307,407564.pgn,0.0
17308,407565.pgn,0.0
17309,407566.pgn,0.0
17310,407567.pgn,0.0
17311,407568.pgn,1.0
17312,407569.pgn,-1.0
17313,407570.pgn,0.0
17314,407573.pgn,0.0
17315,407574.pgn,0.0
17316,407575.pgn,-1.0
17317,407576.pgn,0.0
17318,407578.pgn,1.0
17319,407579.pgn,0.0
17320,407580.pgn,0.0
17321,407581.pgn,0.0
17322,407582.pgn,-1.0
17323,407583.pgn,1.0
17324,407584.pgn,-1.0
17325,407585.pgn,1.0
17326,407586.pgn,0.0
17327,407588.pgn,1.0
17328,407589.pgn,0.0
17329,407590.pgn,0.0
17330,407591.pgn,-1.0
17331,407592.pgn,-1.0
17332,407593.pgn,0.0
17333,407594.pgn,1.0
17334,407595.pgn,0.0
17335,407596.pgn,1.0
17336,407597.pgn,-1.0
17337,407598.pgn,-1.0
17338,407599.pgn,1.0
17339,407600.pgn,0.0
17340,407601.pgn,-1.0
17341,407602.pgn,0.0
17342,407603.pgn,1.0
17343,407604.pgn,0.0
17344,407605.pgn,-1.0
17345,407606.pgn,0.0
17346,407607.pgn,1.0
17347,407608.pgn,1.0
17348,407609.pgn,-1.0
17349,407610.pgn,1.0
17350,407611.pgn,1.0
17351,407612.pgn,1.0
17352,407613.pgn,0.0
17353,407614.pgn,1.0
17354,407615.pgn,0.0
17355,407616.pgn,1.0
17356,407617.pgn,-1.0
17357,407618.pgn,-1.0
17358,407619.pgn,1.0
17359,407620.pgn,-1.0
17360,407621.pgn,-1.0
17361,407622.pgn,-1.0
17362,407623.pgn,-1.0
17363,407624.pgn,1.0
17364,407625.pgn,0.0
17365,407626.pgn,0.0
17366,407627.pgn,0.0
17367,407628.pgn,-1.0
17368,407629.pgn,0.0
17369,407630.pgn,0.0
17370,407632.pgn,0.0
17371,407633.pgn,0.0
17372,407634.pgn,0.0
17373,407635.pgn,0.0
17374,407636.pgn,0.0
17375,407637.pgn,0.0
17376,407638.pgn,0.0
17377,407639.pgn,0.0
17378,407640.pgn,0.0
17379,407641.pgn,0.0
17380,407642.pgn,0.0
17381,407643.pgn,0.0
17382,407644.pgn,0.0
17383,407645.pgn,0.0
17384,407647.pgn,0.0
17385,407648.pgn,0.0
17386,407649.pgn,0.0
17387,407650.pgn,0.0
17388,407651.pgn,0.0
17389,407652.pgn,0.0
17390,407653.pgn,0.0
17391,407654.pgn,-1.0
17392,407655.pgn,1.0
17393,407656.pgn,1.0
17394,407657.pgn,0.0
17395,407658.pgn,1.0
17396,407659.pgn,1.0
17397,407660.pgn,-1.0
17398,407661.pgn,1.0
17399,407662.pgn,1.0
17400,407663.pgn,0.0
17401,407664.pgn,0.0
17402,407665.pgn,0.0
17403,407666.pgn,1.0
17404,407667.pgn,1.0
17405,407668.pgn,1.0
17406,407669.pgn,0.0
17407,407671.pgn,0.0
17408,407672.pgn,1.0
17409,407673.pgn,1.0
17410,407674.pgn,0.0
17411,407675.pgn,1.0
17412,407676.pgn,1.0
17413,407677.pgn,0.0
17414,407678.pgn,-1.0
17415,407679.pgn,-1.0
17416,407680.pgn,0.0
17417,407681.pgn,0.0
17418,407682.pgn,0.0
17419,407683.pgn,1.0
17420,407684.pgn,0.0
17421,407685.pgn,0.0
17422,407686.pgn,0.0
17423,407687.pgn,0.0
17424,407688.pgn,0.0
17425,407689.pgn,0.0
17426,407690.pgn,0.0
17427,407691.pgn,0.0
17428,407692.pgn,1.0
17429,407693.pgn,0.0
17430,407694.pgn,0.0
17431,407695.pgn,1.0
17432,407696.pgn,0.0
17433,407697.pgn,0.0
17434,407698.pgn,0.0
17435,407699.pgn,-1.0
17436,407700.pgn,1.0
17437,407701.pgn,-1.0
17438,407702.pgn,0.0
17439,407703.pgn,1.0
17440,407704.pgn,-1.0
17441,407705.pgn,-1.0
17442,407706.pgn,0.0
17443,407707.pgn,0.0
17444,407709.pgn,1.0
17445,407710.pgn,0.0
17446,407711.pgn,1.0
17447,407712.pgn,-1.0
17448,407713.pgn,0.0
17449,407714.pgn,1.0
17450,407715.pgn,-1.0
17451,407716.pgn,0.0
17452,407717.pgn,0.0
17453,407718.pgn,1.0
17454,407719.pgn,1.0
17455,407720.pgn,1.0
17456,407721.pgn,1.0
17457,407722.pgn,0.0
17458,407724.pgn,-1.0
17459,407725.pgn,1.0
17460,407726.pgn,0.0
17461,407727.pgn,1.0
17462,407728.pgn,0.0
17463,407729.pgn,0.0
17464,407730.pgn,-1.0
17465,407731.pgn,1.0
17466,407732.pgn,0.0
17467,407733.pgn,0.0
17468,407734.pgn,0.0
17469,407735.pgn,0.0
17470,407736.pgn,0.0
17471,407737.pgn,1.0
17472,407738.pgn,0.0
17473,407739.pgn,0.0
17474,407740.pgn,1.0
17475,407741.pgn,-1.0
17476,407742.pgn,0.0
17477,407743.pgn,0.0
17478,407744.pgn,0.0
17479,407745.pgn,0.0
17480,407746.pgn,0.0
17481,407747.pgn,1.0
17482,407748.pgn,0.0
17483,407749.pgn,-1.0
17484,407750.pgn,-1.0
17485,407751.pgn,0.0
17486,407752.pgn,-1.0
17487,407753.pgn,0.0
17488,407754.pgn,1.0
17489,407755.pgn,-1.0
17490,407756.pgn,1.0
17491,407757.pgn,0.0
17492,407758.pgn,0.0
17493,407759.pgn,0.0
17494,407761.pgn,0.0
17495,407762.pgn,0.0
17496,407763.pgn,1.0
17497,407764.pgn,0.0
17498,407765.pgn,1.0
17499,407766.pgn,0.0
17500,407767.pgn,1.0
17501,407768.pgn,-1.0
17502,407769.pgn,0.0
17503,407770.pgn,0.0
17504,407771.pgn,0.0
17505,407772.pgn,-1.0
17506,407773.pgn,0.0
17507,407774.pgn,0.0
17508,407776.pgn,1.0
17509,407777.pgn,1.0
17510,407778.pgn,1.0
17511,407780.pgn,1.0
17512,407781.pgn,1.0
17513,407783.pgn,-1.0
17514,407784.pgn,-1.0
17515,407786.pgn,1.0
17516,407787.pgn,0.0
17517,407788.pgn,1.0
17518,407789.pgn,-1.0
17519,407790.pgn,1.0
17520,407791.pgn,1.0
17521,407792.pgn,1.0
17522,407793.pgn,-1.0
17523,407794.pgn,-1.0
17524,407795.pgn,1.0
17525,407796.pgn,0.0
17526,407797.pgn,1.0
17527,407798.pgn,0.0
17528,407801.pgn,-1.0
17529,407802.pgn,-1.0
17530,407803.pgn,-1.0
17531,407804.pgn,1.0
17532,407805.pgn,-1.0
17533,407806.pgn,1.0
17534,407807.pgn,-1.0
17535,407808.pgn,1.0
17536,407809.pgn,-1.0
17537,407810.pgn,1.0
17538,407811.pgn,0.0
17539,407812.pgn,-1.0
17540,407813.pgn,-1.0
17541,407814.pgn,-1.0
17542,407815.pgn,0.0
17543,407816.pgn,0.0
17544,407817.pgn,0.0
17545,407818.pgn,0.0
17546,407819.pgn,-1.0
17547,407820.pgn,0.0
17548,407821.pgn,0.0
17549,407822.pgn,1.0
17550,407823.pgn,0.0
17551,407824.pgn,1.0
17552,407825.pgn,1.0
17553,407826.pgn,0.0
17554,407827.pgn,-1.0
17555,407828.pgn,0.0
17556,407829.pgn,-1.0
17557,407830.pgn,0.0
17558,407831.pgn,0.0
17559,407832.pgn,0.0
17560,407833.pgn,0.0
17561,407834.pgn,1.0
17562,407835.pgn,0.0
17563,407836.pgn,0.0
17564,407837.pgn,0.0
17565,407838.pgn,-1.0
17566,407839.pgn,0.0
17567,407840.pgn,-1.0
17568,407841.pgn,1.0
17569,407842.pgn,0.0
17570,407843.pgn,0.0
17571,407844.pgn,0.0
17572,407845.pgn,0.0
17573,407846.pgn,1.0
17574,407847.pgn,0.0
17575,407848.pgn,0.0
17576,407849.pgn,-1.0
17577,407850.pgn,1.0
17578,407851.pgn,0.0
17579,407852.pgn,1.0
17580,407853.pgn,0.0
17581,407854.pgn,1.0
17582,407855.pgn,-1.0
17583,407856.pgn,1.0
17584,407857.pgn,0.0
17585,407858.pgn,0.0
17586,407859.pgn,1.0
17587,407860.pgn,0.0
17588,407861.pgn,1.0
17589,407862.pgn,0.0
17590,407863.pgn,1.0
17591,407864.pgn,1.0
17592,407865.pgn,0.0
17593,407866.pgn,0.0
17594,407867.pgn,1.0
17595,407868.pgn,1.0
17596,407869.pgn,0.0
17597,407870.pgn,1.0
17598,407871.pgn,0.0
17599,407872.pgn,0.0
17600,407873.pgn,1.0
17601,407874.pgn,1.0
17602,407875.pgn,1.0
17603,407876.pgn,-1.0
17604,407877.pgn,0.0
17605,407878.pgn,1.0
17606,407879.pgn,-1.0
17607,407880.pgn,-1.0
17608,407881.pgn,0.0
17609,407882.pgn,0.0
17610,407883.pgn,1.0
17611,407884.pgn,-1.0
17612,407885.pgn,-1.0
17613,407886.pgn,1.0
17614,407887.pgn,-1.0
17615,407888.pgn,1.0
17616,407889.pgn,1.0
17617,407890.pgn,1.0
17618,407891.pgn,1.0
17619,407892.pgn,0.0
17620,407893.pgn,0.0
17621,407894.pgn,1.0
17622,407895.pgn,0.0
17623,407896.pgn,-1.0
17624,407897.pgn,-1.0
17625,407898.pgn,0.0
17626,407899.pgn,1.0
17627,407900.pgn,1.0
17628,407901.pgn,1.0
17629,407902.pgn,1.0
17630,407903.pgn,-1.0
17631,407904.pgn,-1.0
17632,407905.pgn,1.0
17633,407906.pgn,-1.0
17634,407907.pgn,1.0
17635,407908.pgn,-1.0
17636,407909.pgn,0.0
17637,407910.pgn,0.0
17638,407911.pgn,0.0
17639,407912.pgn,0.0
17640,407913.pgn,-1.0
17641,407915.pgn,-1.0
17642,407916.pgn,1.0
17643,407917.pgn,1.0
17644,407918.pgn,1.0
17645,407919.pgn,1.0
17646,407920.pgn,-1.0
17647,407921.pgn,1.0
17648,407922.pgn,0.0
17649,407923.pgn,0.0
17650,407924.pgn,-1.0
17651,407925.pgn,-1.0
17652,407926.pgn,-1.0
17653,407927.pgn,1.0
17654,407928.pgn,0.0
17655,407929.pgn,0.0
17656,407930.pgn,1.0
17657,407931.pgn,1.0
17658,407932.pgn,0.0
17659,407933.pgn,1.0
17660,407934.pgn,-1.0
17661,407935.pgn,-1.0
17662,407936.pgn,1.0
17663,407937.pgn,1.0
17664,407938.pgn,1.0
17665,407939.pgn,0.0
17666,407940.pgn,-1.0
17667,407941.pgn,1.0
17668,407942.pgn,-1.0
17669,407943.pgn,-1.0
17670,407944.pgn,1.0
17671,407945.pgn,0.0
17672,407946.pgn,0.0
17673,407947.pgn,0.0
17674,407948.pgn,-1.0
17675,407949.pgn,-1.0
17676,407950.pgn,-1.0
17677,407951.pgn,0.0
17678,407952.pgn,0.0
17679,407953.pgn,1.0
17680,407954.pgn,1.0
17681,407955.pgn,1.0
17682,407956.pgn,-1.0
17683,407957.pgn,0.0
17684,407958.pgn,1.0
17685,407959.pgn,1.0
17686,407960.pgn,-1.0
17687,407961.pgn,0.0
17688,407962.pgn,1.0
17689,407963.pgn,-1.0
17690,407964.pgn,-1.0
17691,407965.pgn,1.0
17692,407966.pgn,-1.0
17693,407967.pgn,1.0
17694,407968.pgn,1.0
17695,407969.pgn,1.0
17696,407970.pgn,-1.0
17697,407971.pgn,-1.0
17698,407972.pgn,-1.0
17699,407973.pgn,-1.0
17700,407974.pgn,1.0
17701,407975.pgn,1.0
17702,407976.pgn,0.0
17703,407977.pgn,0.0
17704,407978.pgn,0.0
17705,407979.pgn,-1.0
17706,407980.pgn,1.0
17707,407981.pgn,0.0
17708,407982.pgn,0.0
17709,407983.pgn,0.0
17710,407984.pgn,0.0
17711,407985.pgn,0.0
17712,407986.pgn,-1.0
17713,407987.pgn,-1.0
17714,407988.pgn,0.0
17715,407989.pgn,-1.0
17716,407990.pgn,0.0
17717,407991.pgn,0.0
17718,407992.pgn,-1.0
17719,407993.pgn,0.0
17720,407994.pgn,0.0
17721,407995.pgn,0.0
17722,407996.pgn,0.0
17723,407997.pgn,0.0
17724,407998.pgn,0.0
17725,407999.pgn,0.0
17726,408000.pgn,1.0
17727,408001.pgn,0.0
17728,408002.pgn,1.0
17729,408003.pgn,-1.0
17730,408004.pgn,0.0
17731,408005.pgn,-1.0
17732,408006.pgn,1.0
17733,408007.pgn,-1.0
17734,408008.pgn,0.0
17735,408009.pgn,0.0
17736,408010.pgn,-1.0
17737,408011.pgn,0.0
17738,408012.pgn,-1.0
17739,408013.pgn,1.0
17740,408014.pgn,0.0
17741,408015.pgn,-1.0
17742,408016.pgn,-1.0
17743,408017.pgn,-1.0
17744,408018.pgn,-1.0
17745,408019.pgn,0.0
17746,408020.pgn,1.0
17747,408021.pgn,-1.0
17748,408022.pgn,-1.0
17749,408023.pgn,-1.0
17750,408024.pgn,1.0
17751,408025.pgn,1.0
